agency_cd,site_no,peak_dt,discharge_cfs,gage_ht_ft
USGS,7010000,1844-06-27,1000000,41.32
USGS,7010000,1862-04-26,712000,
USGS,7010000,1863-03-04,252000,
USGS,7010000,1864-05-14,310000,
USGS,7010000,1865-07-28,513000,
USGS,7010000,1866-04-25,513000,
USGS,7010000,1867-05-01,568000,
USGS,7010000,1868-05-14,421000,
USGS,7010000,1869-07-24,615000,
USGS,7010000,1870-04-16,491000,
USGS,7010000,1871-03-17,348000,
USGS,7010000,1872-06-12,383000,
USGS,7010000,1873-04-11,462000,
USGS,7010000,1874-06-19,261000,
USGS,7010000,1875-08-03,637000,
USGS,7010000,1876-05-10,741000,
USGS,7010000,1877-06-14,506000,
USGS,7010000,1878-06-15,477000,
USGS,7010000,1879-07-03,332000,
USGS,7010000,1880-07-12,466000,
USGS,7010000,1881-05-05,822000,
USGS,7010000,1882-07-05,739000,
USGS,7010000,1883-06-25,863000,
USGS,7010000,1884-04-09,544000,
USGS,7010000,1885-06-17,504000,
USGS,7010000,1886-05-13,500000,
USGS,7010000,1887-04-03,308000,
USGS,7010000,1888-06-04,599000,
USGS,7010000,1889-06-01,416000,
USGS,7010000,1890-07-01,308000,
USGS,7010000,1891-07-04,388000,
USGS,7010000,1892-05-19,926000,
USGS,7010000,1893-05-03,700000,
USGS,7010000,1894-05-11,380000,
USGS,7010000,1895-07-08,229000,
USGS,7010000,1896-05-26,507000,
USGS,7010000,1897-05-02,645000,
USGS,7010000,1898-05-23,487000,
USGS,7010000,1899-04-27,432000,
USGS,7010000,1900-03-16,366000,
USGS,7010000,1901-04-18,343000,22.58
USGS,7010000,1902-07-26,475000,26.89
USGS,7010000,1903-06-10,1020000,38
USGS,7010000,1904-04-29,778000,33.6
USGS,7010000,1905-09-21,613000,30.2
USGS,7010000,1906-04-15,449000,26.2
USGS,7010000,1907-07-25,519000,28
USGS,7010000,1908-06-20,850000,34.95
USGS,7010000,1909-07-15,861000,35.25
USGS,7010000,1910-01-13,416000,25.2
USGS,7010000,1911-02-23,283000,19.9
USGS,7010000,1912-04-05,641000,30.8
USGS,7010000,1913-04-16,487000,27.2
USGS,7010000,1914-06-21,294000,20.4
USGS,7010000,1915-06-24,678000,31.6
USGS,7010000,1916-01-31,676000,31.4
USGS,7010000,1917-06-14,743000,32.9
USGS,7010000,1918-06-12,324000,20.8
USGS,7010000,1919-05-11,515000,26.9
USGS,7010000,1920-04-24,554000,28
USGS,7010000,1921-05-14,397000,23
USGS,7010000,1922-04-20,786000,33.95
USGS,7010000,1923-06-17,341000,20.7
USGS,7010000,1924-07-02,495000,26.3
USGS,7010000,1925-06-25,326000,19.9
USGS,7010000,1926-09-29,438000,24.5
USGS,7010000,1927-04-26,889000,36.1
USGS,7010000,1928-06-22,552000,27.6
USGS,7010000,1929-04-25,739000,34.6
USGS,7010000,1930-06-21,310000,19.6
USGS,7010000,1931-06-15,200000,13.3
USGS,7010000,1931-12-01,356000,22.11
USGS,7010000,1933-05-17,434000,27
USGS,7010000,1934-04-24,136000,9
USGS,7010000,1935-06-07,649000,33.52
USGS,7010000,1936-03-01,336000,21.18
USGS,7010000,1937-05-05,374000,23.76
USGS,7010000,1938-05-27,434000,26.57
USGS,7010000,1939-04-20,529000,30.13
USGS,7010000,1940-06-14,188000,13.37
USGS,7010000,1941-04-22,451000,26.15
USGS,7010000,1942-06-30,666000,34.48
USGS,7010000,1943-05-24,840000,38.94
USGS,7010000,1944-04-30,844000,39.14
USGS,7010000,1945-04-21,610000,35.3
USGS,7010000,1946-01-13,502000,28
USGS,7010000,1947-07-01,783000,40.26
USGS,7010000,1948-03-27,633000,34.63
USGS,7010000,1949-03-11,425000,24.41
USGS,7010000,1950-05-14,466000,27.02
